STATUS,USERID,USERNAME,SALUTATION,FIRSTNAME,NICKNAME,GENDER,EMAIL,MANAGER,HR,DIVISION,DEPARTMENT,TITLE,JOBCODE,LOCATION,CITY,HIREDATE,BIZ_PHONE,HOME_PHONE,ADDR1,ADDR3,EMPID,FAX,ZIP,COUNTRY,MATRIX_MANAGER,CUSTOM_MANAGER,SECOND_MANAGER,CUSTOM01,CUSTOM02,CUSTOM03,CUSTOM04,CUSTOM05,CUSTOM06,CUSTOM07,CUSTOM08,CUSTOM09,CUSTOM10,CUSTOM11,CUSTOM12,CUSTOM13,LOGIN_METHOD,TIMEZONE,DEFAULT_LOCALE,PROXY,STATE,DATE_OF_CURRENT_POSITION,CUSTOM15,SUFFIX
Status,NIP,Username,Salutation,Full Name,Nick Name,Gender,BCA Email,Manager,HR Rep,Division/Region,KCU,Position,Job Code,Work Unit Level 3,First Placement City,Hire Date,Insentif BLI,Phone Number,Home Address,Office Address,Related User Bakti,Division/Region Code,Cost Center,Cost Center Description,Matrix Manager,Custom Manager,Second Manager,Echelon,NIP,Trainee,Work Unit,Time at Company,Time at Echelon,Retirement Year,Position Name,Period in Echelon (Years),Division Category,Employee Status,Contract Type,Working Period (Years),Login Method,Time Zone,Default Locale,Proxy,Birth Place,Date of Permanent Employee Decree,External,Office Location
Active,00050001,19914522,Sdr,"GEORGE A","GEORGE A",M,"",NO_MANAGER,NO_HR,"WILAYAH VII",KCU KEDIRI,"KABAG OPERASIONAL KCU KEDIRI","00000000-KABAG OPERASIONAL KCU",,N/A,01/01/2001,,"085292665100","JL. BOUGENVIL NO. 51,BOGOR UTARA KOTA,JAKARTA PUSAT,00001","Jl. Brawijaya 8 Kediri 64123",,"00007031_WILAYAH VII",0000033500,"Biro Perencanaan & Pengadaan Gedung",NO_MANAGER,00071531|00051721|19972056,,S7B,00050001,"","KEDIRI",24 year(s) 2 month(s),,0 ,"KABAG OPERASIONAL KCU KEDIRI",,,Active employee,Kryw Kontrak,,SSO,Asia/Jakarta,en_US,,"JAKARTA",,,"Kediri"
Active,00050002,19832539,Bpk,"AA Ayat Nyoba","",M,"",NO_MANAGER,NO_HR,"",N/A,"",00000684-KONTRAKPENSIUN,,N/A,09/10/2001,,,",,,","",,"00000000_",,"",NO_MANAGER,,,KontrakPensiun,00050002,"","",23 year(s) 6 month(s),,0 ,"",,,Active employee,Kryw Kontrak,,SSO,Asia/Jakarta,en_US,,"Serang",,,"N/A"
Active,00050004,HCI_SA,Sdr,"GEORGE A","GEORGE A",M,"",00070388,NO_HR,"WILAYAH V",KCU LHOKSEUMAWE,"","00000000-",,N/A,01/01/2002,,,",,,","",,"0975_WILAYAH V",,"",NO_MANAGER,00071531|00051721|19972056,,S5,00050004,"","LHOKSEUMAWE",23 year(s) 2 month(s),21 year(s) 7 month(s),0 ,"",21 - 25,,Active employee,Tetap,,SSO,Asia/Jakarta,en_US,,"SERANG",,,"N/A"
Active,00050014,,Sdri,"ELIZABETH A","ELIZABETH A",F,"1+1=2",00052157,00052157,"DIVISI SUMBER DAYA MANUSIA",N/A,"STAFF MEDICAL CLAIM",00012530-S6,"SUB DIVISI MANAJEMEN SUMBER DAYA MANUSIA",N/A,01/15/2001,,,",,,","Menara BCA Jl MH Thamrin No 1 Jakarta Pusat 11430",,"00012519_DHR",0000998070,"Biro Perencanaan & Pengadaan Gedung",NO_MANAGER,00071531|00051721|19972056,,S6,00050014,"","Urusan Pembayaran Kompensasi dan Benefit",24 year(s) 1 month(s),,0 ,"STAFF MEDICAL CLAIM",,TestingDua,Active employee,Tetap,,SSO,Asia/Jakarta,en_US,,"Jakarta",,,"Menara BCA"
Active,00050016,U535232,Ibu,"ELIZABETH TEST","ELIZABETH TEST",F,"AYATGANTENG@GMAIL.COM",NO_MANAGER,NO_HR,"WILAYAH IX",KCU BOGOR,"ASSOCIATE LEGAL OFFICER","00013685-ASSOCIATE LEGAL OFFICER",,N/A,04/20/2012,Jabodetabek,,"JL. BOUGENVIL NO. 5,,JAKARTA,12345","",,"0979_WILAYAH IX",0000095600,"Support KCU Bogor",NO_MANAGER,00071531|00051721|19972056,,S7A,00050016,"","BOGOR",12 year(s) 10 month(s),,2045 ,"ASSOCIATE LEGAL OFFICER",,,Active employee,Tetap,,SSO,Asia/Jakarta,en_US,,"SERANG",,,"N/A"
Active,00050019,U062744,Bpk,"GEORGE A","GEORGE A",M,"",NO_MANAGER,NO_HR,"",N/A,"TEST POSISI O",00000000-S7A,,N/A,01/15/2002,,,"JL. BOUGENVIL NO. 5,GROGOL PETAMBURAN,JAKARTA BARAT,12345","",,"00000000_",,"",NO_MANAGER,00071531|00051721|19972056,,S7A,00050019,"","",23 year(s) 1 month(s),13 year(s) 5 month(s),0 ,"TEST POSISI O",11 - 15,,Active employee,Tetap,,SSO,Asia/Jakarta,en_US,,"SERANG",,,"N/A"
Active,00050021,U973520,Bpk,"GEORGE A","GEORGE A",M,"AAAAAAAAAAAAAAAA@A.COM",NO_MANAGER,NO_HR,"",N/A,"STAF ADMINISTRASI OPERASI LAYA",00000000-S6,,N/A,01/16/2002,,,"JL. BOUGENVIL NO. 5,,Jakarta,12345","",,"00000000_",,"",NO_MANAGER,00071531|00051721|19972056,,S6,00050021,"","",23 year(s) 1 month(s),,0 ,"STAF ADMINISTRASI OPERASI LAYA",,,Active employee,Tetap,,SSO,Asia/Jakarta,en_US,,"Serang",,,"N/A"
Active,00050024,ASFDAFAF,Bpk,"GEORGE A","GEORGE A",M,"ESS_TEST3142@BCA.CO.ID",NO_MANAGER,NO_HR,"KANTOR CABANG UTAMA BANDUNG",N/A,"KEPALA LAYANAN KCU BANDUNG",00012675-S7A,"OPERASI CABANG BANDUNG",N/A,03/01/2012,Non Jabodetabek,,",,,","Jl. Asia Afrika No. 122-124 Bandung 40261",,"00012634_KCUBDG",0000008500,"Biro Perencanaan & Pengadaan Gedung",00052015,00071531|00051721|19972056,,S7A,00050024,"","LAYANAN KCU BANDUNG",13 year(s) 0 month(s),,2025 ,"KEPALA LAYANAN KCU BANDUNG",,,Active employee,Tetap,,SSO,Asia/Jakarta,en_US,,"Serang",,,"N/A"
Active,00050027,FMS_USER402,Bpk,"AYAT2","GEORGE A",M,"",NO_MANAGER,NO_HR,"",N/A,"SR IT SPECIALIST IT SYSTEM OPERATION",00182093-S6,,N/A,01/01/2012,Jabodetabek,,"JL. BOUGENVIL NO. 5,,Jakarta,12345","",,"00000000_",,"",NO_MANAGER,00071531|00051721|19972056,,S6,00050027,"","IT SYSTEM OPERATION A",13 year(s) 2 month(s),4 year(s) 5 month(s),2010 ,"SR IT SPECIALIST IT SYSTEM OPERATION",0 - 5,,Active employee,Tetap,,SSO,Asia/Jakarta,en_US,,"SERANG",,,"N/A"
